RNCID,CellID
6182,41235
6188,26050
6151,14542
6188,25633
6188,41154
5198,16057
6182,41503
6188,27378
6182,13666
6188,21329
5198,16237
5198,38197
6188,40957
6188,25761
6182,40789
6188,26051
6182,41139
6188,41122
6182,44754
6188,20865
5198,16058
5198,49663
6182,44775
5198,16519
5198,20609
6188,27379
6182,44771
6182,13698
6188,25859
6182,44772
6182,41233
6188,41148
6188,41123
5198,25312
6188,27394
6188,27361
5198,64092
6188,41152
6188,41127
6188,41092
6188,41094
6188,21331
6182,41607
5198,16059
6188,27314
6182,13394
6188,25105
5198,20608
5198,41518
6188,41149
6188,25089
6188,22673
5198,36811
6188,27395
6188,41102
6182,40819
6188,41076
6188,26049
5198,64581
5198,17029
6188,41146
5198,32914
6182,44757
6188,41124
6188,41055
6182,44770
6188,27377
6188,41150
6182,41581
0,-1
6188,41075
5198,38198
6188,27393
