RNCID,CellID,Latitude,Longitude,Azimuth,Downtilt
4199,29753,31.279441,121.500243,-1,-1
6166,8839189,31.28846,121.49888,-1,-1
6166,8839199,31.282578,121.496066,-1,-1
6266,8850719,31.287964,121.501632,-1,-1
6266,8898315,31.287586,121.501693,-1,-1
6266,8898325,31.279832,121.506438,-1,-1
6266,8898335,31.28339,121.4999,-1,-1
6266,8914443,31.279441,121.501639,-1,-1
6266,8966667,31.281312,121.497885,-1,-1
6266,8966677,31.279762,121.501281,-1,-1
6266,8966687,31.279473,121.498229,-1,-1
6266,8966923,31.287995,121.501639,-1,-1
6266,8966933,31.286417,121.501182,-1,-1
6266,8966943,31.288488,121.497962,-1,-1
6266,8970507,31.288342,121.508567,-1,-1
6266,10779659,31.281639,121.501105,-1,-1
6266,12842763,31.281537,121.503344,-1,-1
6266,12842773,31.279428,121.503432,-1,-1
6266,12842783,31.280036,121.501526,-1,-1
6266,13056267,31.28213,121.506908,-1,-1
6266,13525525,31.28716,121.502156,-1,-1
6266,13525535,31.286155,121.4973,-1,-1
43054,11873079,31.285076,121.501639,-1,-1
